#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,xcape,"gives the special escape/super mappings of LARBS."
,xclip,"allows for copying and pasting from the command line."
,xcompmgr,"is for transparency and removing screen-tearing."
,xdotool,"provides window action utilities on the command line."
,xorg-server,"is the graphical server. This first one may take a while as it pulls many other dependencies first on clean installs."
,xorg-xbacklight,"enables changing screen brightness levels."
,xorg-xinit,"starts the graphical server."
,xorg-xprop,"is a tool for detecting window properties."
,xorg-xset,"utility for configuring and ajusting X server"
,xorg-xwininfo,"allows querying information about windows."
,xwallpaper,"sets the wallpaper."
,neovim,"a tidier vim with some useful features"
,atool,"manages and gives information about archives."
,bat,"can highlight code output and display files and is used to generate previews in the file browser."
,dunst,"is a suckless notification system."
,ffmpeg,"can record and splice video and audio on the command line."
,libnotify,"allows desktop notifications."
,lynx,"is a terminal browser also used in LARBS for generating in-terminal previews of websites, emails and HTML files."
,maim,"can take quick screenshots at your request."
,man-db,"lets you read man pages of programs."
,mediainfo,"shows audio and video information and is used in the file browser."
,moreutils,"is a collection of useful unix tools."
,mpc,"is a terminal interface for mpd."
,mpd,"is a lightweight music daemon."
,mpv,"is the patrician's choice video player."
,nsxiv,"is a minimalist image viewer."
,noto-fonts,"is an expansive font package."
,noto-fonts-emoji,"is an emoji font."
,otf-libertinus,"provides the sans and serif fonts for LARBS."
,ttf-dejavu,"properly displays emojis."
,ttf-font-awesome,"provides extended glyph support."
,pipewire-pulse,"gives pipewire compatibility with PulseAudio programs."
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
,pulsemixer,"is an audio controller."
,slock,"allows you to lock your computer, and quickly unlock with your password."
,ueberzugpp,"enables previews in the lf file manager."
,unclutter,"hides an inactive mouse."
,unzip,"unzips zips."
,wireplumber,"is the audio system."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
A,arkenfox-user.js,"provides hardened security settings for Firefox and Librewolf to avoid Mozilla spyware and general web fingerprinting."
A,htop-vim,"is a graphical and colorful system monitor."
A,lf-git,"is an extensive terminal file manager that everyone likes."
A,librewolf-bin,"is the default browser of LARBS which also comes with ad-blocking and other sensible and necessary features by default."
A,librewolf-extension-istilldontcareaboutcookies-bin,"removes annoying cookie banners"
A,librewolf-extension-localcdn-bin,"local emulation of Content Delivery Networks."
A,librewolf-extension-tridactyl-bin,"vim bindings in your browser."
A,librewolf-extension-ublock-origin-bin,"the best ad blocker in town."
A,zsh-fast-syntax-highlighting-git,"provides syntax highlighting in the shell."
G,https://github.com/LukeSmithxyz/dwmblocks.git,"serves as the modular status bar."
G,https://github.com/albyp/dwm.git,"is the window manager."
G,https://github.com/albyp/st.git,"is my custom build of suckless's terminal emulator."
G,https://github.com/lukesmithxyz/dmenu.git,"runs commands and provides a UI for selection."
